class,distance,filename,height,width,xmax,xmin,ymax,ymin
Exit_sign,6.76068205809849,263373.0215845.jpg,640,360,133,107,449,418
Exit_sign,6.427250074395774,263373.121640958.jpg,640,360,142,115,449,418
Exit_sign,6.92383469312191,263373.221697375.jpg,640,360,154,128,459,428
Exit_sign,5.960841872457974,263373.321754.jpg,640,360,160,133,452,420
Exit_sign,6.382097097333644,263373.421810291.jpg,640,360,173,145,442,410
Exit_sign,6.104292797726822,263373.521866875.jpg,640,360,174,145,435,403
Exit_sign,5.938001285620146,263373.621923208.jpg,640,360,170,141,442,408
Exit_sign,6.196126293745487,263373.721979833.jpg,640,360,159,132,443,410
Exit_sign,6.14526729646677,263373.822036208.jpg,640,360,157,130,433,400
Exit_sign,6.254937618288081,263373.922092708.jpg,640,360,163,135,427,393
Exit_sign,5.885905576549316,263374.022149125.jpg,640,360,165,136,423,389
Exit_sign,5.976428159858943,263374.122205583.jpg,640,360,178,149,422,387
Exit_sign,5.727795793945125,263374.22226225.jpg,640,360,170,141,427,391
Exit_sign,5.350733454832085,263374.322318625.jpg,640,360,166,135,438,400
Exit_sign,6.033398459382274,263374.422375083.jpg,640,360,168,138,455,419
Exit_sign,5.518585212943101,263374.522431458.jpg,640,360,180,148,481,442
Exit_sign,5.259148143720081,263374.622488.jpg,640,360,188,153,489,449
Exit_sign,5.471207391037992,263374.722544375.jpg,640,360,201,168,488,450
Exit_sign,5.318909114246857,263374.822600958.jpg,640,360,207,174,485,444
Exit_sign,5.417720638257687,263374.922657291.jpg,640,360,204,171,488,447
Exit_sign,5.173869855245215,263375.022713833.jpg,640,360,198,163,493,450
Exit_sign,5.197248225511364,263375.12277025.jpg,640,360,189,155,479,437
Exit_sign,5.487587511245597,263375.222826666.jpg,640,360,190,158,475,435
Exit_sign,5.097545454662287,263375.322883291.jpg,640,360,189,155,472,430
Exit_sign,5.099911996295378,263375.422939708.jpg,640,360,194,160,471,430
Exit_sign,5.084833512922421,263375.522996208.jpg,640,360,196,162,465,422
Exit_sign,4.861945846134182,263375.623052541.jpg,640,360,193,157,464,420
Exit_sign,4.882379153026007,263375.723109041.jpg,640,360,186,151,464,420
Exit_sign,4.941878731843373,263375.823165416.jpg,640,360,195,161,463,419
Exit_sign,4.700316996180982,263375.923222041.jpg,640,360,202,164,459,414
Exit_sign,5.035711274034757,263376.023278458.jpg,640,360,214,181,449,406
Exit_sign,4.769475223055837,263376.123334958.jpg,640,360,226,189,441,396
Exit_sign,4.6438846605589,263376.223391375.jpg,640,360,222,186,435,389
Exit_sign,4.401871374434183,263376.340123958.jpg,640,360,209,170,442,396
Exit_sign,4.122575056031593,263376.440180333.jpg,640,360,195,155,437,388
Exit_sign,4.338178852977697,263376.540236916.jpg,640,360,186,148,436,387
Exit_sign,4.061680390274956,263376.640293291.jpg,640,360,185,145,439,388
Exit_sign,3.976732886004957,263376.740349833.jpg,640,360,197,155,440,389
Exit_sign,3.8930034929946284,263376.840406333.jpg,640,360,207,164,435,384
