class,distance,filename,height,width,xmax,xmin,ymax,ymin
Exit_sign,1.648859872222726,IMG_1376_02.jpg,3024,4032,2951,1274,2746,1897
Exit_sign,1.6863856514398012,IMG_1377_02.jpg,3024,4032,3252,1560,2730,1592
Exit_sign,1.7783176269291763,IMG_1378_02.jpg,3024,4032,3088,1546,2706,1781
Exit_sign,3.0415609918138897,IMG_1379_04.jpg,3024,4032,2653,1752,1494,986
Exit_sign,2.657286323939355,IMG_1380_04.jpg,3024,4032,2501,1455,2025,1393
Exit_sign,3.1007799544949313,IMG_1381_04.jpg,3024,4032,2444,1550,2665,2126
Exit_sign,4.521828356561381,IMG_1382_06.jpg,3024,4032,2424,1830,1653,1301
Exit_sign,4.188097754464268,IMG_1383_06.jpg,3024,4032,2231,1577,1629,1243
Exit_sign,4.184735876822507,IMG_1384_06.jpg,3024,4032,1337,609,1848,1426
Exit_sign,6.08156570492102,IMG_1385_08.jpg,3024,4032,2349,1895,1665,1382
Exit_sign,6.0655496515785945,IMG_1386_08.jpg,3024,4032,3045,2561,1144,855
Exit_sign,5.66950518474991,IMG_1387_08.jpg,3024,4032,1469,937,1049,741
Exit_sign,7.61342957325727,IMG_1388_10.jpg,3024,4032,2559,2187,1043,821
Exit_sign,7.200196274977378,IMG_1389_10.jpg,3024,4032,1900,1505,741,499
Exit_sign,7.298029816244912,IMG_1390_10.jpg,3024,4032,1178,770,1829,1592
